review_id,username,rating,date_variant,rasa,kualitas,kadaluarsa,likes,image_count,video_count,comment
11665572920,a*****b,5,2023-06-05 21:32 | Variasi: SEDANG,,,,Membantu?,0,0,Kopinya mantappppp
45997054233,achyar13,5,2025-06-02 22:29 | Variasi: SEDANG,enak,,,Membantu?,0,0,Silahkan coba sendiri rasa kopinya
15696716899,aryandi_baso,5,2024-07-02 17:38 | Variasi: SEDANG,,,,Membantu?,0,0,
19194270853,abdias_t,5,2024-11-18 18:06 | Variasi: BIJI SANGRAI,,,,Membantu?,0,0,
15992967557,abdias_t,4,2024-07-29 11:55 | Variasi: BIJI SANGRAI,,,,Membantu?,0,0,
8119446196,anggradee03,5,2022-04-19 19:03 | Variasi: SUPER HALUS,,,,Membantu?,0,0,
4079910990,sociopedia,5,2021-02-14 14:50 | Variasi: BIJI SANGRAI,,,,Membantu?,0,0,
11929949363,nurrilham30,5,2023-07-08 10:25 | Variasi: BIJI SANGRAI,,,,Membantu?,0,0,
11204654517,h88sh,4,2023-04-08 11:38 | Variasi: BIJI SANGRAI,,,,Membantu?,0,0,
35543133042,asfarali,5,2025-04-03 13:21 | Variasi: SUPER HALUS,,,,Membantu?,0,0,
49833710981,i*****n,5,2025-06-18 15:16 | Variasi: BIJI SANGRAI,,,,Membantu?,0,0,
53173027264,mfrozirozi,5,2025-06-24 12:43 | Variasi: SEDANG,,,,Membantu?,0,0,
42411658665,juwana45,5,2025-05-15 17:48 | Variasi: BIJI SANGRAI,,,,Membantu?,0,0,
49212276409,mercs09,5,2025-06-16 08:58 | Variasi: BIJI SANGRAI,,,,Membantu?,0,0,
65487749814,rumengan07,5,2025-08-06 18:56 | Variasi: HALUS,,,,Membantu?,0,0,
