review_id,username,rating,date_variant,rasa,kualitas,kadaluarsa,likes,image_count,video_count,comment
15784409949,chadytia,5,2024-07-10 11:16 | Variasi: Giling Super Halus,,,,Membantu?,1,0,
15674917365,jimmyneutron047,5,2024-06-30 16:11 | Variasi: Giling Super Halus,rasa ini yg dicari,,,Membantu?,0,0,
17590819443,yodii_15,5,2024-10-29 20:49 | Variasi: Biji Sangrai,,,,Membantu?,0,0,
21233227244,endangsupriyanti526,5,2024-12-07 14:48 | Variasi: Giling Halus,,,,Membantu?,0,0,
17274959994,yodii_15,5,2024-10-21 11:44 | Variasi: Biji Sangrai,,,,Membantu?,0,0,
87960639764,harukonaomi,5,2026-02-07 20:51 | Variasi: Biji Sangrai,,,,Membantu?,0,0,
86987302298,r*****e,5,2026-01-31 02:45 | Variasi: Giling Sedang,,,,Membantu?,0,0,
31987506890,faiz_hadi.92,5,2025-03-03 08:37 | Variasi: Giling Super Halus,,,,Membantu?,0,0,
91407188711,jabalnoerhamidah,5,2026-03-09 08:48 | Variasi: Giling Halus,,,,Membantu?,0,0,
88003349387,imamzulkarnain95,5,2026-02-08 18:31 | Variasi: Giling Sedang,,,,Membantu?,0,0,
45088093428,anwarduaributiga,5,2025-05-29 10:27 | Variasi: Giling Sedang,,,,Membantu?,0,0,
